Time(sec), Queue Density, Dynamic Density
0.200000, 1.000000, 1.000000
0.400000, 0.089560, 0.089560
0.600000, 0.132060, 0.099080
0.800000, 0.155340, 0.101940
1.000000, 0.164610, 0.091480
1.200000, 0.170260, 0.088990
1.400000, 0.183090, 0.104270
1.600000, 0.184240, 0.075700
1.800000, 0.195130, 0.081930
2.000000, 0.203560, 0.084540
2.200000, 0.200930, 0.099280
2.400000, 0.198080, 0.097360
2.600000, 0.196150, 0.090790
2.800000, 0.195800, 0.082990
3.000000, 0.193710, 0.088800
3.200000, 0.191550, 0.081510
3.400000, 0.190880, 0.085430
3.600000, 0.190740, 0.071660
3.800000, 0.190120, 0.067030
4.000000, 0.191710, 0.065530
4.200000, 0.193300, 0.066720
4.400000, 0.194510, 0.065270
4.600000, 0.196510, 0.062250
4.800000, 0.202640, 0.066980
5.000000, 0.204660, 0.063920
5.200000, 0.205300, 0.062570
5.400000, 0.206290, 0.059650
5.600000, 0.213770, 0.066430
5.800000, 0.238710, 0.086170
6.000000, 0.266950, 0.113360
6.200000, 0.289280, 0.132400
6.400000, 0.301210, 0.156950
6.600000, 0.305200, 0.150240
6.800000, 0.303850, 0.146250
7.000000, 0.301270, 0.139710
7.200000, 0.295770, 0.129610
7.400000, 0.308800, 0.132230
7.600000, 0.324750, 0.140500
7.800000, 0.339530, 0.154610
8.000000, 0.345410, 0.165190
8.200000, 0.351020, 0.163550
8.400000, 0.355380, 0.163460
8.600000, 0.355480, 0.163080
8.800000, 0.356450, 0.164260
9.000000, 0.354520, 0.163270
9.200000, 0.351220, 0.163560
9.400000, 0.351920, 0.163130
9.600000, 0.347830, 0.158670
9.800000, 0.343040, 0.161120
10.000000, 0.336290, 0.153990
10.200000, 0.330260, 0.148670
10.400000, 0.325760, 0.144440
10.600000, 0.321780, 0.135010
10.800000, 0.317980, 0.125300
11.000000, 0.315270, 0.118810
11.200000, 0.313630, 0.112240
11.400000, 0.310110, 0.110270
11.600000, 0.306580, 0.104980
11.800000, 0.303580, 0.100070
12.000000, 0.301220, 0.096130
12.200000, 0.298400, 0.093260
12.400000, 0.296280, 0.089400
12.600000, 0.293190, 0.084570
12.800000, 0.292120, 0.078040
13.000000, 0.288150, 0.081430
13.200000, 0.287970, 0.076350
13.400000, 0.287160, 0.072290
13.600000, 0.286760, 0.068220
13.800000, 0.286160, 0.062690
14.000000, 0.286210, 0.056600
14.200000, 0.285770, 0.051370
14.400000, 0.285070, 0.046140
14.600000, 0.285030, 0.041780
14.800000, 0.286660, 0.044830
15.000000, 0.285500, 0.039810
15.200000, 0.285410, 0.038200
15.400000, 0.284360, 0.035900
15.600000, 0.284630, 0.034690
15.800000, 0.284120, 0.032870
16.000000, 0.284010, 0.027700
16.200000, 0.285780, 0.027790
16.400000, 0.288270, 0.031700
16.600000, 0.287850, 0.027750
16.800000, 0.288060, 0.026270
17.000000, 0.286010, 0.024030
17.200000, 0.286300, 0.023250
17.400000, 0.286530, 0.023380
17.600000, 0.286420, 0.022530
17.800000, 0.286750, 0.022130
18.000000, 0.287440, 0.024900
18.200000, 0.286590, 0.022110
18.400000, 0.286280, 0.020680
18.600000, 0.283750, 0.017110
18.800000, 0.282540, 0.014910
19.000000, 0.283400, 0.015560
19.200000, 0.283020, 0.016270
19.400000, 0.282110, 0.015210
19.600000, 0.281770, 0.014480
19.800000, 0.281740, 0.018030
20.000000, 0.281900, 0.017160
20.200000, 0.281730, 0.017270
20.400000, 0.282000, 0.017050
20.600000, 0.281670, 0.018980
20.800000, 0.281190, 0.022020
21.000000, 0.282860, 0.024370
21.200000, 0.283460, 0.024570
21.400000, 0.288370, 0.029750
21.600000, 0.287920, 0.028360
21.800000, 0.286790, 0.027960
22.000000, 0.286950, 0.027760
22.200000, 0.285860, 0.026180
22.400000, 0.287030, 0.025760
22.600000, 0.287750, 0.025840
22.800000, 0.292740, 0.029280
23.000000, 0.302330, 0.041740
23.200000, 0.309500, 0.048140
23.400000, 0.309070, 0.047230
23.600000, 0.309160, 0.046230
23.800000, 0.309020, 0.045160
24.000000, 0.309820, 0.044500
24.200000, 0.310210, 0.044750
24.400000, 0.310890, 0.044670
24.600000, 0.310130, 0.043270
24.800000, 0.309320, 0.043290
25.000000, 0.307440, 0.042680
25.200000, 0.305540, 0.041790
25.400000, 0.305870, 0.040440
25.600000, 0.305350, 0.040300
25.800000, 0.306090, 0.041500
26.000000, 0.309920, 0.047270
26.200000, 0.314790, 0.055590
26.400000, 0.318070, 0.063390
26.600000, 0.319830, 0.066800
26.800000, 0.322430, 0.071050
27.000000, 0.326160, 0.073720
27.200000, 0.331030, 0.080830
27.400000, 0.340830, 0.092330
27.600000, 0.354890, 0.109860
27.800000, 0.365440, 0.122490
28.000000, 0.391550, 0.153370
28.200000, 0.403640, 0.162650
28.400000, 0.420650, 0.176960
28.600000, 0.439230, 0.193390
28.800000, 0.459100, 0.209030
29.000000, 0.474880, 0.226460
29.200000, 0.487800, 0.239620
29.400000, 0.498530, 0.252190
29.600000, 0.510000, 0.264480
29.800000, 0.520110, 0.283420
30.000000, 0.528100, 0.291340
30.200000, 0.536680, 0.298700
30.400000, 0.543040, 0.304520
30.600000, 0.550270, 0.312580
30.800000, 0.557370, 0.318850
31.000000, 0.562080, 0.325370
31.200000, 0.565410, 0.327590
31.400000, 0.583420, 0.336400
31.600000, 0.584450, 0.335020
31.800000, 0.585820, 0.335050
32.000000, 0.588710, 0.335170
32.200000, 0.589320, 0.333780
32.400000, 0.590070, 0.331780
32.600000, 0.589570, 0.330350
32.800000, 0.590920, 0.328970
33.000000, 0.594820, 0.330580
33.200000, 0.594630, 0.327660
33.400000, 0.605820, 0.337240
33.600000, 0.619420, 0.347860
33.800000, 0.629170, 0.354940
34.000000, 0.637600, 0.360200
34.200000, 0.642840, 0.358280
34.400000, 0.648320, 0.358280
34.600000, 0.658400, 0.361850
34.800000, 0.665710, 0.368550
35.000000, 0.676660, 0.381780
35.200000, 0.679280, 0.385850
35.400000, 0.679170, 0.383250
35.600000, 0.676910, 0.378360
35.800000, 0.678820, 0.376090
36.000000, 0.681670, 0.373870
36.200000, 0.683150, 0.369300
36.400000, 0.697030, 0.386380
36.600000, 0.697130, 0.377770
36.800000, 0.696500, 0.372040
37.000000, 0.694230, 0.362790
37.200000, 0.693690, 0.353100
37.400000, 0.692220, 0.342660
37.600000, 0.693680, 0.336600
37.800000, 0.693860, 0.331490
38.000000, 0.693070, 0.322600
38.200000, 0.699310, 0.326370
38.400000, 0.711330, 0.331500
38.600000, 0.721810, 0.336770
38.800000, 0.733670, 0.340110
39.000000, 0.745390, 0.343900
39.200000, 0.754930, 0.345570
39.400000, 0.766020, 0.348890
39.600000, 0.778180, 0.361720
39.800000, 0.817360, 0.411850
40.000000, 0.837830, 0.437820
40.200000, 0.843420, 0.443810
40.400000, 0.849100, 0.447530
40.600000, 0.870970, 0.476520
40.800000, 0.883370, 0.490370
41.000000, 0.889530, 0.498740
41.200000, 0.893460, 0.501710
41.400000, 0.921750, 0.537670
41.600000, 0.920780, 0.532970
41.800000, 0.921040, 0.530530
42.000000, 0.923730, 0.529840
42.200000, 0.937150, 0.534190
42.400000, 0.938950, 0.531990
42.600000, 0.942730, 0.530990
42.800000, 0.944660, 0.528090
43.000000, 0.952950, 0.544250
43.200000, 0.952940, 0.538700
43.400000, 0.952630, 0.534790
43.600000, 0.953470, 0.530450
43.800000, 0.955330, 0.526330
44.000000, 0.955070, 0.522410
44.200000, 0.954760, 0.519020
44.400000, 0.955260, 0.517330
44.600000, 0.954870, 0.514660
44.800000, 0.954740, 0.512130
45.000000, 0.954810, 0.505710
45.200000, 0.956050, 0.500350
45.400000, 0.957360, 0.492760
45.600000, 0.956950, 0.484690
45.800000, 0.956570, 0.476930
46.000000, 0.955860, 0.468400
46.200000, 0.955290, 0.458510
46.400000, 0.959470, 0.458560
46.600000, 0.958640, 0.447080
46.800000, 0.958460, 0.437670
47.000000, 0.960780, 0.432280
47.200000, 0.962440, 0.427950
47.400000, 0.963570, 0.424510
47.600000, 0.964540, 0.418040
47.800000, 0.967990, 0.414410
48.000000, 0.974820, 0.437800
48.200000, 0.974620, 0.426380
48.400000, 0.974930, 0.418760
48.600000, 0.974460, 0.409830
48.800000, 0.974520, 0.405420
49.000000, 0.974780, 0.400510
49.200000, 0.975050, 0.394000
49.400000, 0.975670, 0.382610
49.600000, 0.975740, 0.374000
49.800000, 0.978320, 0.371290
50.000000, 0.979540, 0.361190
50.200000, 0.980630, 0.352490
50.400000, 0.980160, 0.336260
50.600000, 0.979980, 0.325410
50.800000, 0.980380, 0.318690
51.000000, 0.980170, 0.311300
51.200000, 0.980260, 0.304320
51.400000, 0.982130, 0.320070
51.600000, 0.982060, 0.307720
51.800000, 0.982160, 0.296680
52.000000, 0.981570, 0.283550
52.200000, 0.981060, 0.272780
52.400000, 0.980670, 0.262480
52.600000, 0.980220, 0.257870
52.800000, 0.980440, 0.256780
53.000000, 0.978750, 0.241020
53.200000, 0.979450, 0.237960
53.400000, 0.977970, 0.232240
53.600000, 0.977100, 0.229490
53.800000, 0.976500, 0.226690
54.000000, 0.976320, 0.223680
54.200000, 0.976150, 0.224020
54.400000, 0.977300, 0.226290
54.600000, 0.978480, 0.224620
54.800000, 0.979700, 0.254910
55.000000, 0.980520, 0.253810
55.200000, 0.980490, 0.252390
55.400000, 0.980600, 0.248910
55.600000, 0.981180, 0.244110
55.800000, 0.981260, 0.239360
56.000000, 0.981220, 0.235140
56.200000, 0.980870, 0.229390
56.400000, 0.980500, 0.240290
56.600000, 0.980670, 0.234770
56.800000, 0.980680, 0.227960
57.000000, 0.980450, 0.220750
57.200000, 0.980410, 0.215480
57.400000, 0.980160, 0.210420
57.600000, 0.980090, 0.204670
57.800000, 0.980350, 0.200830
58.000000, 0.981270, 0.198420
58.200000, 0.981390, 0.194230
58.400000, 0.981510, 0.189420
58.600000, 0.981730, 0.184970
58.800000, 0.980890, 0.180470
59.000000, 0.980870, 0.173990
59.200000, 0.980700, 0.166440
59.400000, 0.980900, 0.160210
59.600000, 0.981130, 0.154460
59.800000, 0.981350, 0.149970
60.000000, 0.981160, 0.144590
60.200000, 0.981410, 0.139750
60.400000, 0.980350, 0.134280
60.600000, 0.980610, 0.127580
60.800000, 0.980770, 0.120700
61.000000, 0.980630, 0.115430
61.200000, 0.980640, 0.106840
61.400000, 0.980820, 0.099240
61.600000, 0.980520, 0.093840
61.800000, 0.981030, 0.088730
62.000000, 0.981570, 0.088510
62.200000, 0.981950, 0.082520
62.400000, 0.981900, 0.078690
62.600000, 0.981780, 0.077760
62.800000, 0.981550, 0.076950
63.000000, 0.981710, 0.073450
63.200000, 0.981800, 0.069540
63.400000, 0.981400, 0.066690
63.600000, 0.981290, 0.063800
63.800000, 0.980410, 0.065420
64.000000, 0.980970, 0.061900
64.200000, 0.981140, 0.058060
64.400000, 0.981170, 0.055240
64.600000, 0.980870, 0.052520
64.800000, 0.981320, 0.052210
65.000000, 0.981170, 0.050460
65.200000, 0.980620, 0.048140
65.400000, 0.979700, 0.053260
65.600000, 0.980050, 0.051420
65.800000, 0.980310, 0.050130
66.000000, 0.980390, 0.047500
66.200000, 0.981000, 0.045380
66.400000, 0.980890, 0.045010
66.600000, 0.980620, 0.044220
66.800000, 0.980630, 0.044140
67.000000, 0.980240, 0.049970
67.200000, 0.980400, 0.047150
67.400000, 0.980760, 0.050220
67.600000, 0.980710, 0.047100
67.800000, 0.980630, 0.043760
68.000000, 0.980640, 0.041400
68.200000, 0.980400, 0.039360
68.400000, 0.980350, 0.038130
68.600000, 0.980450, 0.037850
68.800000, 0.980760, 0.036710
69.000000, 0.980550, 0.035810
69.200000, 0.979730, 0.038310
69.400000, 0.979790, 0.036020
69.600000, 0.979970, 0.034730
69.800000, 0.979740, 0.033380
70.000000, 0.979750, 0.032020
70.200000, 0.980430, 0.030750
70.400000, 0.980360, 0.030110
70.600000, 0.980420, 0.028560
70.800000, 0.980120, 0.032790
71.000000, 0.980030, 0.029210
71.200000, 0.980120, 0.027130
71.400000, 0.979780, 0.025700
71.600000, 0.980130, 0.024210
71.800000, 0.980100, 0.023270
72.000000, 0.980160, 0.022370
72.200000, 0.980220, 0.022960
72.400000, 0.980850, 0.030880
72.600000, 0.980380, 0.028920
72.800000, 0.980850, 0.028540
73.000000, 0.980790, 0.028510
73.200000, 0.980560, 0.028910
73.400000, 0.980360, 0.028260
73.600000, 0.980400, 0.027790
73.800000, 0.980030, 0.026810
74.000000, 0.980120, 0.026710
74.200000, 0.980490, 0.030250
74.400000, 0.980400, 0.027840
74.600000, 0.980080, 0.026580
74.800000, 0.980220, 0.025980
75.000000, 0.980300, 0.025400
75.200000, 0.979860, 0.027640
75.400000, 0.979560, 0.028290
75.600000, 0.979920, 0.028910
75.800000, 0.980400, 0.035690
76.000000, 0.980550, 0.032650
76.200000, 0.980750, 0.030120
76.400000, 0.980750, 0.029830
76.600000, 0.980440, 0.029590
76.800000, 0.980510, 0.029170
77.000000, 0.980630, 0.027440
77.200000, 0.980690, 0.026120
77.400000, 0.979760, 0.033500
77.600000, 0.980490, 0.032210
77.800000, 0.980520, 0.030100
78.000000, 0.980930, 0.029170
78.200000, 0.980550, 0.028110
78.400000, 0.980520, 0.026680
78.600000, 0.980270, 0.025840
78.800000, 0.980360, 0.024990
79.000000, 0.980630, 0.025450
79.200000, 0.980680, 0.028350
79.400000, 0.980940, 0.025510
79.600000, 0.980880, 0.024550
79.800000, 0.981270, 0.023380
80.000000, 0.981170, 0.020630
80.200000, 0.981010, 0.019490
80.400000, 0.981120, 0.018580
80.600000, 0.980760, 0.018470
80.800000, 0.981260, 0.022450
81.000000, 0.981120, 0.020950
81.200000, 0.981270, 0.019830
81.400000, 0.980870, 0.019420
81.600000, 0.980520, 0.019010
81.800000, 0.980530, 0.019760
82.000000, 0.980610, 0.020790
82.200000, 0.980440, 0.022960
82.400000, 0.981820, 0.029050
82.600000, 0.981170, 0.027210
82.800000, 0.980860, 0.027220
83.000000, 0.980530, 0.027820
83.200000, 0.980930, 0.026260
83.400000, 0.980970, 0.025510
83.600000, 0.980680, 0.024140
83.800000, 0.980450, 0.023640
84.000000, 0.980410, 0.023610
84.200000, 0.979550, 0.026750
84.400000, 0.979540, 0.024440
84.600000, 0.979630, 0.023950
84.800000, 0.979640, 0.023880
85.000000, 0.979970, 0.023630
