Frame Count, Queue Density
1, 100000
2, 2839
3, 4241
4, 4080
5, 3112
6, 4835
7, 5447
8, 4029
9, 5871
10, 5716
11, 5743
12, 6321
13, 6791
14, 4928
15, 5602
16, 6737
17, 6972
18, 6554
19, 13133
20, 11921
21, 12464
22, 11978
23, 6413
24, 7047
25, 7497
26, 7941
27, 8339
28, 8788
29, 8136
30, 8432
31, 8832
32, 8499
33, 8525
34, 8397
35, 8446
36, 8623
37, 8613
38, 8255
39, 8380
40, 8481
41, 8148
42, 8050
43, 8138
44, 10511
45, 10189
46, 10059
47, 9627
48, 9493
49, 9220
50, 8879
51, 8633
52, 8432
53, 8124
54, 6945
55, 7031
56, 6922
57, 6906
58, 6998
59, 6904
60, 6913
61, 6985
62, 6734
63, 6632
64, 6401
65, 6292
66, 6242
67, 6271
68, 6086
69, 7969
70, 7759
71, 7543
72, 7417
73, 7343
74, 7116
75, 6945
76, 6679
77, 6388
78, 6163
79, 6117
80, 6023
81, 6077
82, 6433
83, 6669
84, 7472
85, 8070
86, 8470
87, 9720
88, 11065
89, 11454
90, 12661
91, 13630
92, 13792
93, 14297
94, 19129
95, 18870
96, 18857
97, 19063
98, 18892
99, 18955
100, 18996
101, 18562
102, 18578
103, 18506
104, 18147
105, 17507
106, 17316
107, 16826
108, 16778
109, 16812
110, 16651
111, 17045
112, 17302
113, 17437
114, 17733
115, 17942
116, 17343
117, 17461
118, 17043
119, 17858
120, 17849
121, 17665
122, 17576
123, 17436
124, 17256
125, 17039
126, 16751
127, 16490
128, 16277
129, 16050
130, 16005
131, 15777
132, 15416
133, 15354
134, 15266
135, 15158
136, 15061
137, 14906
138, 14905
139, 14699
140, 14587
141, 14382
142, 14204
143, 14005
144, 14856
145, 14659
146, 14501
147, 14178
148, 14027
149, 13789
150, 13608
151, 13359
152, 13189
153, 13105
154, 12858
155, 12654
156, 12428
157, 12115
158, 11856
159, 11626
160, 11335
161, 11012
162, 10793
163, 10433
164, 10232
165, 9954
166, 9735
167, 9458
168, 9285
169, 10014
170, 9668
171, 9565
172, 9356
173, 9063
174, 8815
175, 8624
176, 8453
177, 8420
178, 8403
179, 8252
180, 8134
181, 8003
182, 7885
183, 7752
184, 7653
185, 7525
186, 7365
187, 7211
188, 7093
189, 6889
190, 6762
191, 6599
192, 6437
193, 6323
194, 7208
195, 6997
196, 6905
197, 6713
198, 6615
199, 6433
200, 6233
201, 6175
202, 6019
203, 5901
204, 5815
205, 5592
206, 5418
207, 5280
208, 5124
209, 4965
210, 4834
211, 4687
212, 4535
213, 4424
214, 4324
215, 4186
216, 4051
217, 3907
218, 3766
219, 4685
220, 4401
221, 4301
222, 4136
223, 4037
224, 3908
225, 3851
226, 3763
227, 3688
228, 3635
229, 3529
230, 3461
231, 3397
232, 3433
233, 3362
234, 3391
235, 3295
236, 3220
237, 3159
238, 3019
239, 2871
240, 2867
241, 2932
242, 2918
243, 2911
244, 3642
245, 3382
246, 3331
247, 3209
248, 3070
249, 3010
250, 2945
251, 2885
252, 2766
253, 2713
254, 2647
255, 2569
256, 2501
257, 2483
258, 2453
259, 2438
260, 2436
261, 2412
262, 2425
263, 2425
264, 2430
265, 2393
266, 2365
267, 2341
268, 2301
269, 2718
270, 2657
271, 2629
272, 2545
273, 2459
274, 2440
275, 2388
276, 2343
277, 2323
278, 2333
279, 2353
280, 2434
281, 2463
282, 2577
283, 2704
284, 2717
285, 2863
286, 2936
287, 2920
288, 2923
289, 2930
290, 2789
291, 2839
292, 2780
293, 2715
294, 3272
295, 3061
296, 2937
297, 2727
298, 2600
299, 2524
300, 2390
301, 2334
